date,counter,potentielle matche
Last update --2023-02-16 12:21:34,2,
Last update --2023-02-16 12:43:40,96,98.0
Last update --2023-02-16 13:50:31,96,97.0
Last update --2023-02-16 16:22:56,39,39.0
Last update --2023-02-16 22:50:48,36,40.0
Last update --2023-02-16 23:50:54,42,45.0
Last update --2023-02-17 05:50:16,105,115.0
Last update --2023-02-17 12:50:49,220,222.0
Last update --2023-02-17 14:09:06,0,0.0
Last update --2023-02-17 14:28:19,0,1.0
Last update --2023-02-17 14:51:08,196,199.0
Last update --2023-02-17 16:39:50,1,1.0
Last update --2023-02-17 16:49:41,12,12.0
Last update --2023-02-17 15:50:56,181,183.0
Last update --2023-02-17 16:07:18,172,173.0
Last update --2023-02-17 16:50:21,167,171.0
Last update --2023-02-17 17:45:24,161,163.0
Last update --2023-02-17 17:50:52,160,163.0
Last update --2023-02-17 18:50:33,152,155.0
Last update --2023-02-17 19:50:32,111,114.0
Last update --2023-02-17 20:50:47,67,67.0
Last update --2023-02-17 21:50:25,68,71.0
Last update --2023-02-17 22:50:31,68,73.0
Last update --2023-02-17 23:50:41,86,92.0
Last update --2023-02-18 00:50:47,99,105.0
Last update --2023-02-18 01:50:45,157,168.0
Last update --2023-02-18 02:50:31,264,287.0
Last update --2023-02-18 03:50:23,342,360.0
Last update --2023-02-18 05:50:25,609,628.0
Last update --2023-02-18 06:50:52,629,658.0
Last update --2023-02-18 07:50:38,661,684.0
Last update --2023-02-18 08:50:55,688,713.0
Last update --2023-02-18 09:50:32,698,725.0
Last update --2023-02-18 10:50:26,698,727.0
Last update --2023-02-18 11:50:19,688,716.0
Last update --2023-02-18 12:50:16,682,711.0
Last update --2023-02-18 13:50:38,621,640.0
Last update --2023-02-18 14:50:22,513,526.0
Last update --2023-02-18 15:50:32,450,457.0
Last update --2023-02-18 16:50:45,234,240.0
Last update --2023-02-18 17:50:18,191,194.0
Last update --2023-02-18 18:50:32,152,155
